filename,berv,snr,nan_count,flux_median,wavelength_start,wavelength_end
2493563t.fits,4.50593537534713,150.05800230145695,949,0.12477764598124373,1280.7484450833167,1321.2490619512607
3018470t.fits,22.27125572121056,198.45834088396174,936,0.18275409973096451,1280.7443215946805,1321.2480177061902
2869215t.fits,24.369199029509918,177.4612582108364,957,0.1346024927107424,1280.7465096732215,1321.2485446894045
2488337t.fits,15.293927508797616,160.15846538368478,930,0.13742781247913133,1280.74815197841,1321.2490436399366
2746502t.fits,24.03184627318297,164.33176109630622,927,0.11153584426591917,1280.748763166918,1321.2493405569935
2502850t.fits,-15.478426600468385,136.120564531978,932,0.09259386161085853,1280.7484287888497,1321.249143991453
2425920t.fits,2.354243184844226,147.379190432025,976,0.2855103940151445,1280.7530963539823,1321.2541609600867
3014920t.fits,25.800304728823907,192.54261274138358,928,0.16189414182499925,1280.7441407924427,1321.2476893592582
2623782t.fits,-11.925117285554554,192.7924265217546,935,0.1505278788715772,1280.7486902014252,1321.2492325286096
2540884t.fits,-18.940244917336308,121.03918641934506,977,0.07049386699731469,1280.7485550043314,1321.2491711101552
2437201t.fits,-26.17309405970509,153.28976415978772,964,0.13608170768161137,1280.752761509438,1321.2539468075236
3024018t.fits,2.6820748977045894,161.76055114492632,924,0.12120102554093644,1280.7443512474415,1321.2481039955105
2632161t.fits,-22.84726008075814,191.75916122598838,923,0.15136799623513925,1280.7488324151332,1321.249244739075
2900854t.fits,-25.738014332721253,198.18710015894973,940,0.13113350451030642,1280.747276074566,1321.2485042779008
2619508t.fits,-1.7346067496970183,181.25273733890694,926,0.1530707899529972,1280.7487918105537,1321.2491633197067
2515173t.fits,-26.163626455566597,82.34200051483585,962,0.03730626437320017,1280.7483588139933,1321.2491701411266
2447654t.fits,-24.816301940640088,132.5708083183521,941,0.1050899091760154,1280.7526298645155,1321.253911861934
2623984t.fits,-12.25272849856751,185.59397279128157,954,0.14167274338815664,1280.748796964157,1321.2492041626317
2892515t.fits,-22.800175424188065,196.05130015870668,921,0.1348264542680948,1280.74715150538,1321.2484672117694
2400513t.fits,22.840382716089355,114.84162987965844,944,0.12453434550143547,1280.7520074655176,1321.2530014456731
2623558t.fits,-11.557426104976068,167.71100045159588,919,0.11957685763751591,1280.748761513122,1321.2491969141365
2305327t.fits,-26.32362039403221,273.3003656272727,970,0.18769759178996087,1280.7520414453998,1321.2530134643114
2759699t.fits,14.429801619253743,195.27462764146227,927,0.1388253365164801,1280.7488837838423,1321.2493058880038
2305624t.fits,-26.27188236531393,285.9236442435723,934,0.1992334351991255,1280.7519911027998,1321.2529924849207
2445937t.fits,-26.003601671213055,132.2380158407321,935,0.10751016216498724,1280.7525255235012,1321.2539142651444
2662724t.fits,-24.42329853884585,200.05124456979615,940,0.1374169315806173,1280.7488723169056,1321.2493363017907
2900519t.fits,-25.891734050271292,83.42545429369261,930,0.02924575907382995,1280.747286835964,1321.2484429868284
2425726t.fits,2.8416170231503854,138.8707624254633,960,0.25193230387435095,1280.752998021911,1321.2542501696068
2637847t.fits,-26.218053390569054,204.4258680814717,920,0.17258014662633486,1280.7488444210996,1321.2492417079648
2399970t.fits,23.476350317481035,104.79733119823044,943,0.112568003102173,1280.7519795538892,1321.25292381944
2584447t.fits,24.077375356145748,154.13286611044117,939,0.09956213271002873,1280.7487079392495,1321.2492217602748
3028424t.fits,-11.462356857452205,170.9140125162694,928,0.1342308116058586,1280.7442317238863,1321.2479272166688
2515388t.fits,-26.19138084222387,88.30370872084083,965,0.04187876958902193,1280.7483786453665,1321.249175764076
2492156t.fits,7.116306975552701,158.26912332205995,936,0.13004632427687304,1280.7482884003468,1321.2490369753607
2898833t.fits,-26.41609355694507,172.66193899213073,928,0.10538774663867617,1280.7471748200871,1321.2484462049133
2601663t.fits,26.39148619288251,184.3368751985184,926,0.13567365703153017,1280.7488139066738,1321.2492632408962
2885611t.fits,-12.372517289530766,145.0690469967083,954,0.06977814018638434,1280.7466705302775,1321.2485732230984
2990456t.fits,23.85303498477324,187.62925319187985,930,0.1305239359552115,1280.7441506805926,1321.247714385053
2920644t.fits,-21.213051678436226,187.1945191855197,933,0.1299874334349979,1280.7474414765275,1321.2484943634356
2516768t.fits,-26.184125964290494,175.16707399437269,932,0.13216330737956106,1280.7482238680866,1321.2492450678149
2733553t.fits,26.378755065023793,126.8625270527211,924,0.0739542603550548,1280.748901439112,1321.2492814967245
3036339t.fits,-21.564991882588085,191.3813552610292,942,0.16448889884180556,1280.7441582754655,1321.2477755929058
2618219t.fits,0.8299665332137536,102.55446201396522,938,0.058188529254537755,1280.7486707646603,1321.249192308141
2893204t.fits,-23.632922325156283,188.2427681525346,921,0.12511969631296416,1280.7469185019556,1321.248516608038
3062669t.fits,-26.272972872485536,110.10817354781165,932,0.0451894197752607,1280.7441654775278,1321.2477948829533
2763687t.fits,3.8054175955243585,158.10012080995477,933,0.10248659163901115,1280.7488039810478,1321.2493857561174
3036571t.fits,-22.044190385379956,155.84872607833475,951,0.11245381852594662,1280.7441477865116,1321.247798859395
2600677t.fits,26.521395388279,192.26559660480507,928,0.14602031469847784,1280.7487522891117,1321.249267897909
2889905t.fits,-17.854405879748406,169.97437374602376,930,0.10114312270048817,1280.7459477175112,1321.2485435058318
2502385t.fits,-14.35979299675084,160.83968485109125,934,0.12362953094798486,1280.7483498068,1321.2490797421844
2606740t.fits,21.501818749629997,185.42161433758693,925,0.1393648586244926,1280.748743954685,1321.2492462002924
3019201t.fits,20.780770476702134,186.9870862234595,935,0.16731441757025217,1280.7442373541373,1321.2480741449567
2921086t.fits,-20.37814898231203,178.0624189235785,932,0.11742140355345973,1280.7475372746887,1321.2485095189322
2509402t.fits,-23.73656345248368,124.38298342898061,935,0.07395272899737175,1280.7483874889656,1321.249090744751
2618779t.fits,-0.40989772208681546,134.60201380337804,946,0.09082152804435067,1280.748672185972,1321.2492133166218
2509823t.fits,-23.98984781335934,183.07567810197602,933,0.14351037616209297,1280.7485340866965,1321.2490893097709
2885771t.fits,-12.741471550937064,176.00747035851342,934,0.09869281090584106,1280.746405891235,1321.2485640885147
2872003t.fits,18.856834061272128,190.76378660210193,942,0.1294798031434684,1280.7468701238604,1321.248464114589
2503997t.fits,-17.627315932523288,153.92621840937892,945,0.11580453149530971,1280.7482981292123,1321.249157502032
2438243t.fits,-26.314335370811527,150.24318600053383,942,0.13349580379735831,1280.752780978586,1321.253884923169
2456240t.fits,-17.540740603846356,113.72612503859541,942,0.09728648664929512,1280.7531003789372,1321.253830612035
2759493t.fits,14.836335889089302,191.15537284878567,927,0.13348275404602597,1280.7488870447187,1321.2493279801593
2438464t.fits,-26.311379643925555,140.2428011186629,947,0.11889759937251827,1280.7528649312549,1321.25386319311
2922009t.fits,-18.548124621280184,179.2561013243902,930,0.11960526521896933,1280.74755314748,1321.2484293978712
2619895t.fits,-2.5397258453861125,182.87239921739328,937,0.1555773116587798,1280.7487094990718,1321.249221906472
2991021t.fits,24.578567794712402,152.67441374471574,930,0.08885137836431553,1280.7443381995697,1321.2476115930415
2868099t.fits,25.92717239055639,178.17584942781104,962,0.13639325627267307,1280.7463749753485,1321.248479064822
2400338t.fits,23.0189899686749,119.32695128007836,943,0.13277882146408032,1280.7518964462672,1321.2530132162779
2623373t.fits,-11.230206712736749,169.31195035979036,919,0.11881407893601897,1280.7488258942305,1321.2491900592868
2762740t.fits,6.2338483728865866,166.0448847863401,937,0.11161374952802867,1280.7487099399827,1321.2493551880145
2846742t.fits,20.81765989151954,174.33623162708955,928,0.10453925999024824,1280.7460290065535,1321.2485329967008
2883520t.fits,-6.8607507339751885,190.46816316633647,928,0.1274029276691679,1280.7469908373469,1321.2485698440528
2638300t.fits,-26.22814254168921,200.9351455419943,924,0.1681566517190083,1280.7488472636924,1321.2492461441554
2636430t.fits,-25.992229094335116,187.20694136029266,926,0.14741223681546403,1280.7488276157435,1321.2492481529357
2305628t.fits,-26.297726356326837,280.5067057465979,934,0.19248365821725447,1280.7519911027998,1321.2529924849207
2499895t.fits,-8.568180175710257,132.6930997863374,929,0.09099935488447702,1280.7482839212344,1321.2490669579813
2305344t.fits,-26.433983974873033,267.3464803525721,977,0.18061806768471128,1280.7520414453998,1321.2530134643114
2305647t.fits,-26.413098942375612,263.8874157807178,935,0.17135623408960382,1280.7519911027998,1321.2529924849207
2747575t.fits,22.60068121993662,191.25648330451793,966,0.14617399774431078,1280.7487852206677,1321.2493588330972
2503221t.fits,-16.146028748582953,157.86172858186532,932,0.11835218268221721,1280.7483897153345,1321.2491744811311
2882816t.fits,-4.708055966475671,196.43690197518038,924,0.13445865338680268,1280.7468653054,1321.2485511883963
2883368t.fits,-6.423260907915889,194.6109203089186,932,0.13354638559118137,1280.746919094191,1321.2485590485435
2731855t.fits,26.519953803613966,194.2899966337887,935,0.1515098015854895,1280.748928482174,1321.2492722993152
2606546t.fits,21.743964878208313,159.89771872539575,928,0.1075850215080146,1280.7487765739384,1321.249254329864
